PMID,FAU
32398954,"Awadasseid, Annoor # Wu, Yanling # Tanaka, Yoshimasa # Zhang, Wen"
32171191,"Yu, H # Wang, X C # Li, J # Qian, X # Yu, X F # Sun, Z # Chen, J F # Kao, Q J # Wang, H Q # Pan, J C"
32373339,"Hu, Dingtao # Lou, Xiaoqi # Xu, Zhiwei # Meng, Nana # Xie, Qiaomei # Zhang, Man # Zou, Yanfeng # Liu, Jiatao # Sun, Guoping # Wang, Fang"
32303497,"Sturrock, Beattie Rh # Chevassut, Timothy Jt"
32291373,"Azwar, Muhammad Khifzhon # Kirana, Fauzia # Kurniawan, Adi # Handayani, Sri # Setiati, Siti"
32870978,"Gómez # Franco, Oscar H # Rojas, Lyda Z # Raguindin, Peter Francis # Roa # Wyssmann, Beatrice Minder # Guevara, Sandra Lucrecia Romero # Echeverría, Luis Eduardo # Glisic, Marija # Muka, Taulant"
32450198,"Tripathy, Satyajit # Dassarma, Barsha # Roy, Somenath # Chabalala, Hlupheka # Matsabisa, Motlalepula Gilbert"
32152082,"Martinez, Miguel Angel"
32391578,"Ghai, Suhani"
32658868,"Fang, Xiaoyu # Li, Shen # Yu, Hao # Wang, Penghao # Zhang, Yao # Chen, Zheng # Li, Yang # Cheng, Liqing # Li, Wenbin # Jia, Hong # Ma, Xiangyu"
32235575,"Yan, Yuxin # Shin, Woo In # Pang, Yoong Xin # Meng, Yang # Lai, Jianchen # You, Chong # Zhao, Haitao # Lester, Edward # Wu, Tao # Pang, Cheng Heng"
32371230,"Acter, Thamina # Uddin, Nizam # Das, Jagotamoy # Akhter, Afroza # Choudhury, Tasrina Rabia # Kim, Sunghwan"
32553841,"Wu, Jhong # Tseng, Wen # Lin, Chien # Lee, Tai # Chung, Ming # Huang, Chien # Chen, Shey # Hsueh, Po # Chen, Shyr"
32015507,"Zhou, Peng # Yang, Xing # Wang, Xian # Hu, Ben # Zhang, Lei # Zhang, Wei # Si, Hao # Zhu, Yan # Li, Bei # Huang, Chao # Chen, Hui # Chen, Jing # Luo, Yun # Guo, Hua # Jiang, Ren # Liu, Mei # Chen, Ying # Shen, Xu # Wang, Xi # Zheng, Xiao # Zhao, Kai # Chen, Quan # Deng, Fei # Liu, Lin # Yan, Bing # Zhan, Fa # Wang, Yan # Xiao, Geng # Shi, Zheng"
